Number,Content
01369,"[""A Person doing a tennis racket like movement"", ""A person slaps with his left hand.""]"
01006,"[""a person is walking forward and doing a left u-turn and walks back"", ""A person takes two foward steps, turns around 180 degrees and returns to the initial standing position.""]"
03290,"[""A human turns 360\u00b0 leftwards while jumping in the air.""]"
01123,"[""A person performs a sluggish step to the left."", ""A person takes a wide lunge to the left and keeps his balance by using both arms."", ""Someone gets puched away from its right and trips to its left.""]"
01794,"[""A person walks straight, recovers from a hard pushed from the left, and returns to the original path.""]"
01177,"[""A human walks slowly forward.."", ""The human walks very slowly""]"
00170,"[""the person is walking backwards"", ""A person walkes backward.""]"
01407,"[""Subject waves with both hands."", ""a person waves with both of his hands"", ""A human waves with both hands.""]"
03537,"[""A person walks an eight.""]"
01587,"[""A person goes four and a half steps forward while looking at their feet."", ""The human walks a couple of steps""]"
01299,"[""A person performs a punching motion.""]"
00143,"[""A person turns 90\u00b0 to the left at medium speed.""]"
01655,"[""A person is standing straight upright with their arms streched out sideways."", ""human stands with its arm being streched out sideways"", ""A human is balancing with its hands streched out, in a static position."", ""a person has both arms raised to both side like wings"", ""A person holds his arms on the height of his shoulders."", ""A person is balancing while holding out his arms"", ""Someone stands with his arms raised to the side.""]"
03009,"[""A person uses an axe.""]"
00964,"[""A person walks forward."", ""Person walking forwards"", ""A person makes 5 steps forward."", ""a person walks forwards and stops after a few meters""]"
03419,"[""A person is slowly walking forward with the arms swinging a bit.""]"
03276,"[""A person jumps forward.""]"
00271,"[""A subject is walking backward four steps."", ""A person is walking backwards""]"
00183,"[""A person walks in circles."", ""A person walks forward counterclockwise in a circle"", ""a person walks in a circle to the left""]"
02940,"[""A human crouches down and searches the floor around her current location.""]"
00068,"[""Someone walks a right circle.""]"
03155,"[""A person shakes the bent arms and the head like an eating chicken.""]"
01995,"[""A person is walking forward then making a sharp turn."", ""a person walks a few steps forward then turns right 180 degrees and walks some more steps""]"
03682,"[""a human runs forward""]"
00764,"[""A person walks a quarter circle clockwise with 4 steps.""]"
02184,"[""A person raises both arms on the side of his body and moves them back down""]"
00006,"[""A person goes four and half steps forward."", ""A person walking forward slightly to the right.""]"
01503,"[""A person wipes two times in a circle on a waist high surface.""]"
02499,"[""A human walks holding her right upper leg with both hands.""]"
00733,"[""A person is making a sharp turn.""]"
01118,"[""A person stumbling to the left"", ""A person takes a few recovery steps to the left."", ""A person steps to his left."", ""A person is pushed from the right to the left."", ""A person stumbling to the left""]"
02418,"[""A human walks backwards with a stoop.""]"
03480,"[""A person is running.""]"
00988,"[""A human walks to the left."", ""Someone is walking forward and then performing a left turn."", ""A human is walking a quarter of a cirlce to its left.""]"
00967,"[""Someone pretends to start running but then walks instead."", ""A person walks straight forward a few meters"", ""A person takes 5 steps forward.""]"
00709,"[""A person starts sprinting and then stops."", ""a person runs forwards"", ""A person starts to run and stops.""]"
01834,"[""A person pushed from the back"", ""Somebody has been pushed.""]"
